country,totaled costs
Mexico,33457.38
Greece,58888.03
Turkey,71384.21
Canada,87027.23
Vietnam,90217.93
Malaysia,80965.02
Brazil,55460.04
Romania,62104.32
United States,67537.8
Romania,51827.75
United States,78174.04
Spain,71992.15
Russia,60977.13
United States,77405.43
Ukraine,37505.8
France,81142.83
Germany,69283.58
Kazakhstan,39864.68
United States,89356.19
Germany,79692.0
United States,88065.68
Germany,73455.02
Italy,53898.69
Brazil,47270.0
Canada,79571.19
India,31940.25
Mauritius,58208.41
Portugal,81525.67
Poland,50089.92
Mexico,42152.01
Mexico,39247.44
United Kingdom,73818.73
Brazil,42166.64
Germany,81125.42
Spain,55144.22
Turkey,69926.37
France,75459.15
Ukraine,40745.43
Chile,41776.14
Egypt,26235.03
Romania,56635.71
Romania,57183.09
United Kingdom,89981.68
Austria,71121.95
Ukraine,48839.28
Algeria,41614.48
Lithuania,62603.18
Turkey,69502.87
United States,73386.48
Kazakhstan,36090.09
United States,109588.3
United States,84899.71
United Kingdom,65388.76
Czech Republic,56098.55
Israel,104125.8
Romania,53434.14
Chile,39751.25
South Korea,93333.0
Russia,83741.51
Uzbekistan,25577.19
Ukraine,43544.1
Tunisia,52274.99
Poland,57024.74
United Kingdom,110471.56
Canada,59009.34
Ukraine,50233.82
Ethiopia,100626.16
Sweden,67604.4
Romania,51625.1
United Kingdom,76389.76
Finland,100029.27
Spain,68591.54
Russia,77039.17
Ukraine,39588.14
United States,72274.77
Belgium,93623.32
France,74005.46
Italy,73617.54
United States,77271.28
Thailand,107006.76
United States,90598.98
Mexico,36109.44
United Kingdom,75378.79
Italy,72232.06
United States,87165.85
United Kingdom,87499.36
Norway,100208.96
United States,112477.97
Spain,61845.01
Israel,107488.57
Russia,97117.13
Germany,74290.7
Spain,62599.05
Romania,50606.05
United Kingdom,77091.64
Egypt,36771.0
Poland,57357.18
United Kingdom,88527.23
Germany,80908.86
Canada,63470.5
Germany,64840.59
Portugal,75589.66
United States,110519.75
United States,77760.4
Cyprus,66675.65
Denmark,114781.92
France,75527.88
United States,76009.18
Slovakia,57431.82
Ukraine,47066.35
Germany,65503.76
South Africa,54679.63
Spain,62616.91
India,37288.67
Netherlands,87444.25
Canada,74254.8
Spain,73679.56
Germany,79768.68
Mexico,49312.94
Ukraine,57846.94
Brazil,34547.92
Tunisia,61384.26
Guatemala,46531.49
Finland,76109.14
South Africa,57661.3
Turkey,91089.24
Australia,60666.43
United Kingdom,96774.52
France,69952.13
Ukraine,48139.43
United States,68705.02
Spain,65614.57
Germany,74084.38
Ecuador,61431.6
Netherlands,87557.59
Spain,68499.09
Israel,117024.83
India,47505.93
Chile,36111.27
United States,88957.84
United Kingdom,95800.9
Finland,68518.69
Spain,57712.71
Switzerland,142972.62
United Kingdom,80828.34
India,42511.1
Morocco,45903.49
Italy,83424.08
Germany,64594.59
Romania,53440.17
Spain,65679.4
Bulgaria,51709.42
Ukraine,43130.61
Russia,102441.65
Ireland,88039.76
Germany,85070.45
Mexico,43606.77
Israel,113549.63
United Kingdom,83744.29
Portugal,88239.7
Austria,70775.5
Italy,82286.44
Vietnam,79199.48
Honduras,41400.4
Netherlands,92855.57
Poland,51582.61
United Kingdom,78163.95
Germany,70550.81
India,44218.77
Poland,46800.66
Spain,66993.08
Hungary,53653.49
Morocco,42456.97
United States,87056.01
Finland,98001.45
Belgium,77991.69
United Kingdom,68830.33
Morocco,38269.41
Bosnia And Herzegovina,43586.1
Romania,46573.13
Israel,114165.5
Spain,52243.42
Italy,72104.85
Italy,70390.72
Spain,77191.62
United States,86775.82
Mexico,66388.55
Chile,47669.48
United Kingdom,87576.66
Portugal,66108.79
United States,64949.51
Finland,74095.58
Brazil,44433.18
United States,80532.51
Egypt,45531.68
Netherlands,87228.73
Switzerland,135312.05
United States,81535.99
Australia,53610.59
Poland,54825.15
Norway,97656.72
Germany,77862.42
Romania,49409.81
Canada,86701.36
United States,97310.07
United Kingdom,92274.31
Portugal,85771.53
Italy,58084.47
Netherlands,73537.39
Germany,66217.09
Croatia,63064.68
Mexico,44935.1
Bolivia,36421.7
Spain,64866.88
Czech Republic,64599.53
Portugal,52327.82
United States,88375.42
Poland,46776.86
Portugal,89772.89
Spain,62946.23
Turkey,75749.71
Spain,55192.92
United States,69092.02
Sweden,78185.59
Netherlands,81118.45
Greece,65041.33
France,83426.13
Turkey,66471.78
Morocco,51528.29
Lithuania,51996.64
Denmark,93138.25
Israel,120276.78
Chile,37114.0
Brazil,45335.88
Brazil,41106.59
Bosnia And Herzegovina,51012.97
United Kingdom,95400.01
Netherlands,79705.66
Turkey,72654.61
Romania,43490.55
Germany,95680.75
Italy,58006.15
Hungary,51169.05
United States,61015.92
India,34506.49
Turkey,56864.19
Netherlands,90423.82
Austria,79822.19
Georgia,37757.29
Romania,45299.98
United States,105596.01
Italy,69947.59
Turkey,67915.65
United Kingdom,142599.96
Germany,64890.72
Egypt,26563.79
Australia,71383.35
United States,116182.41
Spain,55089.8
Italy,55845.89
Hungary,46275.46
United States,92529.32
Germany,81203.32
Serbia,54893.21
Italy,74807.96
France,78662.5
Spain,47649.97
France,68487.08
Netherlands,84715.1
Spain,80258.92
South Africa,53894.51
Romania,46822.4
United States,103596.08
Romania,44558.95
Australia,51450.94
Russia,62125.36
Tunisia,53560.09
United Kingdom,70769.33
Greece,60329.34
Japan,47843.68
Bulgaria,49651.75
Portugal,76224.35
France,85150.91
United Kingdom,116046.13
North Macedonia,45607.2
United States,102137.8
Spain,71471.97
France,69949.45
Switzerland,156695.94
Canada,76333.51
United Kingdom,84397.24
Albania,40556.8
United States,76489.74
India,29443.59
France,70272.69
Poland,49591.54
Germany,91944.62
Australia,63983.64
Spain,69791.13
Finland,73704.91
Philippines,39934.85
Chile,42301.56
Portugal,75775.91
Netherlands,66434.51
Romania,49887.79
Italy,68092.82
Moldova,36445.1
Australia,69916.44
Uzbekistan,30133.28
United Kingdom,110480.05
Israel,110210.52
Canada,50979.39
United States,65774.56
Austria,75226.7
Italy,57249.66
Norway,99822.22
United States,81100.5
Turkey,74660.13
Netherlands,91374.06
France,82354.25
Sweden,63619.51
Germany,108287.23
